id,customer_id,employee_id,date,shipper_id,id,name,contact,address,city,postal_code,country,employee_id,last_name,first_name,birthdate,photo,notes,id,name,phone,id,order_id,product_id,quantity,id,name,supplier_id,category_id,unit,price,id,name,description,id,name,contact,address,city,postal_code,country,phone
10308,2,7,1996-09-18,3,2,"Ana Trujillo Emparedados y helados","Ana Trujillo","Avda. de la Constitucion 2222","Mexico D.F.",05021,Mexico,7,King,Robert,1960-05-29,EmpID7.pic,"Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan and then joining the company. After completing a course entitled 'Selling in Europe', he was transferred to the London office.",3,"Federal Shipping","(503) 555-9931",163,10308,70,5,70,"Outback Lager",7,1,"24 - 355 ml bottles",15,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",7,"Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343"
10308,2,7,1996-09-18,3,2,"Ana Trujillo Emparedados y helados","Ana Trujillo","Avda. de la Constitucion 2222","Mexico D.F.",05021,Mexico,7,King,Robert,1960-05-29,EmpID7.pic,"Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan and then joining the company. After completing a course entitled 'Selling in Europe', he was transferred to the London office.",3,"Federal Shipping","(503) 555-9931",162,10308,69,1,69,Gudbrandsdalsost,15,4,"10 kg pkg.",36,4,"Dairy Products",Cheeses,15,"Norske Meierier","Beate Vileid","Hatlevegen 5",Sandvika,1320,Norway,(0)2-953010
10365,3,3,1996-11-27,2,3,"Antonio Moreno Taqueria","Antonio Moreno","Mataderos 2312","Mexico D.F.",05023,Mexico,3,Leverling,Janet,1963-08-30,EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.",2,"United Package","(503) 555-3199",314,10365,11,24,11,"Queso Cabrales",5,4,"1 kg pkg.",21,4,"Dairy Products",Cheeses,5,"Cooperativa de Quesos Las Cabras","Antonio del Valle Saavedra","Calle del Rosal 4",Oviedo,33007,Spain,"(98) 598 76 54"
10383,4,8,1996-12-16,3,4,"Around the Horn","Thomas Hardy","120 Hanover Sq.",London,"WA1 1DP",UK,8,Callahan,Laura,1958-01-09,EmpID8.pic,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.",3,"Federal Shipping","(503) 555-9931",360,10383,56,20,56,"Gnocchi di nonna Alice",26,5,"24 - 250 g pkgs.",38,5,Grains/Cereals,"Breads, crackers, pasta, and cereal",26,"Pasta Buttini s.r.l.","Giovanni Giudici","Via dei Gelsomini, 153",Salerno,84100,Italy,"(089) 6547665"
10355,4,6,1996-11-15,1,4,"Around the Horn","Thomas Hardy","120 Hanover Sq.",London,"WA1 1DP",UK,6,Suyama,Michael,1963-07-02,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",1,"Speedy Express","(503) 555-9831",286,10355,57,25,57,"Ravioli Angelo",26,5,"24 - 250 g pkgs.",19.5,5,Grains/Cereals,"Breads, crackers, pasta, and cereal",26,"Pasta Buttini s.r.l.","Giovanni Giudici","Via dei Gelsomini, 153",Salerno,84100,Italy,"(089) 6547665"
10383,4,8,1996-12-16,3,4,"Around the Horn","Thomas Hardy","120 Hanover Sq.",London,"WA1 1DP",UK,8,Callahan,Laura,1958-01-09,EmpID8.pic,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.",3,"Federal Shipping","(503) 555-9931",359,10383,50,15,50,"Valkoinen suklaa",23,3,"12 - 100 g bars",16.25,3,Confections,"Desserts, candies, and sweet breads",23,"Karkki Oy","Anne Heikkonen","Valtakatu 12",Lappeenranta,53120,Finland,"(953) 10956"
10355,4,6,1996-11-15,1,4,"Around the Horn","Thomas Hardy","120 Hanover Sq.",London,"WA1 1DP",UK,6,Suyama,Michael,1963-07-02,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",1,"Speedy Express","(503) 555-9831",285,10355,24,25,24,"Guarana Fantastica",10,1,"12 - 355 ml cans",4.5,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",10,"Refrescos Americanas LTDA","Carlos Diaz","Av. das Americanas 12.890","Sao Paulo",5442,Brazil,"(11) 555 4640"
10383,4,8,1996-12-16,3,4,"Around the Horn","Thomas Hardy","120 Hanover Sq.",London,"WA1 1DP",UK,8,Callahan,Laura,1958-01-09,EmpID8.pic,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.",3,"Federal Shipping","(503) 555-9931",358,10383,13,20,13,Konbu,6,8,"2 kg box",6,8,Seafood,"Seaweed and fish",6,Mayumis,"Mayumi Ohno","92 Setsuko Chuo-ku",Osaka,545,Japan,"(06) 431-7877"
10384,5,3,1996-12-16,3,5,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8",Lulea,"S-958 22",Sweden,3,Leverling,Janet,1963-08-30,EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.",3,"Federal Shipping","(503) 555-9931",362,10384,60,15,60,"Camembert Pierrot",28,4,"15 - 300 g rounds",34,4,"Dairy Products",Cheeses,28,"Gai paturage","Eliane Noz","Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06
10384,5,3,1996-12-16,3,5,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8",Lulea,"S-958 22",Sweden,3,Leverling,Janet,1963-08-30,EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.",3,"Federal Shipping","(503) 555-9931",361,10384,20,28,20,"Sir Rodneys Marmalade",8,3,"30 gift boxes",81,3,Confections,"Desserts, candies, and sweet breads",8,"Specialty Biscuits, Ltd.","Peter Wilson","29 Kings Way",Manchester,"M14 GSD",UK,"(161) 555-4448"
